Binomial.1.2,Order.1.2,Family.1.2,log10density,log10BM,dataset
Abditomys_latidens,Rodentia,Muridae,NA,2.429752280002408,mam
Abeomelomys_sevia,Rodentia,Muridae,NA,1.7160033436347992,mam
Abrawayaomys_ruschii,Rodentia,Cricetidae,NA,1.7993405494535817,mam
Abrocoma_bennettii,Rodentia,Abrocomidae,NA,2.3979400086720375,mam
Abrocoma_boliviensis,Rodentia,Abrocomidae,NA,2.1986570869544226,mam
Abrocoma_budini,Rodentia,Abrocomidae,NA,2.5571461423183632,mam
Abrocoma_cinerea,Rodentia,Abrocomidae,NA,2.3979400086720375,mam
Abrocoma_famatina,Rodentia,Abrocomidae,NA,2.3681008517093516,mam
Abrocoma_shistacea,Rodentia,Abrocomidae,NA,2.4413808849165113,mam
Abrocoma_uspallata,Rodentia,Abrocomidae,NA,2.390581878550435,mam
Abrocoma_vaccarum,Rodentia,Abrocomidae,NA,2.405346360175709,mam
Abrothrix_andinus,Rodentia,Cricetidae,NA,1.255272505103306,mam
Abrothrix_illutea,Rodentia,Cricetidae,NA,1.6794278966121188,mam
Abrothrix_jelskii,Rodentia,Cricetidae,NA,1.5378190950732742,mam
Abrothrix_lanosus,Rodentia,Cricetidae,NA,1.5118833609788744,mam
Abrothrix_longipilis,Rodentia,Cricetidae,NA,1.575187844927661,mam
Abrothrix_olivaceus,Rodentia,Cricetidae,NA,1.4313637641589874,mam
Abrothrix_sanborni,Rodentia,Cricetidae,NA,1.3926969532596658,mam
Acinonyx_jubatus,Carnivora,Felidae,NA,4.669316880566112,mam
Acomys_airensis,Rodentia,Muridae,NA,1.6839471307515121,mam
Acomys_cahirinus,Rodentia,Muridae,NA,1.7201593034059568,mam
Acomys_cilicicus,Rodentia,Muridae,NA,1.6283889300503116,mam
Acomys_cineraceus,Rodentia,Muridae,NA,1.307496037913213,mam
Acomys_dimidiatus,Rodentia,Muridae,NA,1.5740312677277188,mam
Acomys_ignitus,Rodentia,Muridae,NA,1.380211241711606,mam
Acomys_johannis,Rodentia,Muridae,NA,1.2671717284030137,mam
Acomys_kempi,Rodentia,Muridae,NA,1.3424226808222062,mam
Acomys_louisae,Rodentia,Muridae,NA,1.3053513694466237,mam
Acomys_minous,Rodentia,Muridae,NA,1.7958800173440752,mam
Acomys_mullah,Rodentia,Muridae,NA,1.4533183400470377,mam
Acomys_nesiotes,Rodentia,Muridae,NA,1.7201593034059568,mam
Acomys_percivali,Rodentia,Muridae,NA,1.3424226808222062,mam
Acomys_russatus,Rodentia,Muridae,NA,1.6972293427597176,mam
Acomys_seurati,Rodentia,Muridae,NA,1.8524799936368563,mam
Acomys_spinosissimus,Rodentia,Muridae,NA,1.423245873936808,mam
Acomys_subspinosus,Rodentia,Muridae,NA,1.3222192947339193,mam
Acomys_wilsoni,Rodentia,Muridae,NA,1.2671717284030137,mam
Aconaemys_fuscus,Rodentia,Octodontidae,NA,2.125481265700594,mam
Aconaemys_porteri,Rodentia,Octodontidae,NA,1.9637878273455553,mam
Aconaemys_sagei,Rodentia,Octodontidae,NA,1.9845273133437926,mam
Acratocnus_odontrigonus,Pilosa,Megalonychidae,NA,4.361538971269279,mam
Acratocnus_ye,Pilosa,Megalonychidae,NA,4.328583449714202,mam
