Binomial.1.2,Order.1.2,Family.1.2,log10BM,log10.density.median,log10.density.mean,sd,log10.lower.95hpd,log10.upper.95hpd,density.median,density.mean,lower.95hpd,upper.95hpd
Abditomys_latidens,Rodentia,Muridae,2.429752280002408,2.677967305038809,2.6706835833774396,0.3071727776506477,2.079081209069944,3.2853387612922935,476.3951210347222,468.4719402719124,119.97236194482078,1929.0290206371742
Abeomelomys_sevia,Rodentia,Muridae,1.7160033436347992,2.7794409420982706,2.778979109805323,0.3463402024935998,2.103285470395729,3.468535894277658,601.7844231723988,601.1448208497621,126.84853925440915,2941.276779135289
Abrawayaomys_ruschii,Rodentia,Cricetidae,1.7993405494535817,2.553865491431718,2.554947562023707,0.33537961403367084,1.8929260465619357,3.218067389792168,357.9855455699256,358.87859998506735,78.14947171452059,1652.2181542375688
Abrocoma_bennettii,Rodentia,Abrocomidae,2.3979400086720375,2.417120656243232,2.413773138987275,0.3545088085387811,1.715902254234056,3.1119623943917545,261.288716919513,259.28246028543305,51.98789752732749,1294.0837817375852
Abrocoma_boliviensis,Rodentia,Abrocomidae,2.1986570869544226,2.6047519121931435,2.609802657829285,0.45070243033058893,1.7455686628044573,3.506483038494757,402.4870506180931,407.1952074216901,55.66326320063132,3209.837440569159
Abrocoma_budini,Rodentia,Abrocomidae,2.5571461423183632,2.4300123181781643,2.434851805680782,0.45569125271953237,1.556788622932811,3.333298718508019,269.1611146769922,272.1772399122895,36.04031871638051,2154.262980715577
Abrocoma_cinerea,Rodentia,Abrocomidae,2.3979400086720375,2.5062444934658252,2.513445069089538,0.4630729735765844,1.6326572924233433,3.4390112617046675,320.80748565393145,326.17079269357504,42.91976075340671,2747.9654097610314
Abrocoma_famatina,Rodentia,Abrocomidae,2.3681008517093516,2.531009998167979,2.5359834868354025,0.4605779038957952,1.6031443837698338,3.3893319038673106,339.6330914086379,343.5448850558282,40.10000102948817,2450.9356217174427
Abrocoma_shistacea,Rodentia,Abrocomidae,2.4413808849165113,2.4894791697608127,2.4936179104587004,0.46502324584276505,1.5803274486080099,3.4223672601240795,308.6591598711429,311.6146811456977,38.04761589618305,2644.6442492616434
Abrocoma_uspallata,Rodentia,Abrocomidae,2.390581878550435,2.5080893250598564,2.5134128474837385,0.44812068426508084,1.6368301386563828,3.4010877004952227,322.17313641821033,326.14659400517746,43.33413566809164,2518.185393369563
