"Binomial.1.2","Order.1.2","Family.1.2","Genus.1.2","Species.1.2","Genus.1.1","Species.1.1","Genus.1.0","Species.1.0","EltonTraits.1.0.Genus","EltonTraits.1.0.Species","EltonTraits.1.0.Status","Departure.From.IUCN.2016.3.Taxonomy","Intrafamily.Ages.Generated.From.Genetic.Data","Analyzed.Intrafamily.Phylogeny","Included.In.Small.Tree","Hierachical.Level","Markers","Bases","Placement","Placement.Source","Taxonomy.Source","Dating.Source"
"000 Accepted by EltonTraits 1.0 but not by us_000 Accepted by EltonTraits 1.0 but not by us","Chiroptera","Mormoopidae","000 Accepted by EltonTraits 1.0 but not by us","000 Accepted by EltonTraits 1.0 but not by us","000 Accepted by EltonTraits 1.0 but not by us","000 Accepted by EltonTraits 1.0 but not by us","000 Accepted by EltonTraits 1.0 but not by us","000 Accepted by EltonTraits 1.0 but not by us","Pteronotus","pristinus","000 Accepted by EltonTraits 1.0 but not by us","000 Accepted by EltonTraits 1.0 but not by IUCN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"000 Accepted by EltonTraits 1.0 but not by us_000 Accepted by EltonTraits 1.0 but not by us","Rodentia","Echimyidae","000 Accepted by EltonTraits 1.0 but not by us","000 Accepted by EltonTraits 1.0 but not by us","000 Accepted by EltonTraits 1.0 but not by us","000 Accepted by EltonTraits 1.0 but not by us","000 Accepted by EltonTraits 1.0 but not by us","000 Accepted by EltonTraits 1.0 but not by us","Brotomys","contractus","000 Accepted by EltonTraits 1.0 but not by us","000 Accepted by EltonTraits 1.0 but not by IUCN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"000 Accepted by EltonTraits 1.0 but not by us_000 Accepted by EltonTraits 1.0 but not by us","Eulipotyphla","Solenodontidae","000 Accepted by EltonTraits 1.0 but not by us","000 Accepted by EltonTraits 1.0 but not by us","000 Accepted by EltonTraits 1.0 but not by us","000 Accepted by EltonTraits 1.0 but not by us","000 Accepted by EltonTraits 1.0 but not by us","000 Accepted by EltonTraits 1.0 but not by us","Solenodon","arredondoi","000 Accepted by EltonTraits 1.0 but not by us","000 Accepted by EltonTraits 1.0 but not by IUCN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"000 Accepted by EltonTraits 1.0 but not by us_000 Accepted by EltonTraits 1.0 but not by us","Rodentia","Caviidae","000 Accepted by EltonTraits 1.0 but not by us","000 Accepted by EltonTraits 1.0 but not by us","000 Accepted by EltonTraits 1.0 but not by us","000 Accepted by EltonTraits 1.0 but not by us","000 Accepted by EltonTraits 1.0 but not by us","000 Accepted by EltonTraits 1.0 but not by us","Cavia","porcellus","000 Accepted by EltonTraits 1.0 but not by us","000 Accepted by EltonTraits 1.0 but not by IUCN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"000 Accepted by EltonTraits 1.0 but not by us_000 Accepted by EltonTraits 1.0 but not by us","Primates","Cercopithecidae","000 Accepted by EltonTraits 1.0 but not by us","000 Accepted by EltonTraits 1.0 but not by us","000 Accepted by EltonTraits 1.0 but not by us","000 Accepted by EltonTraits 1.0 but not by us","000 Accepted by EltonTraits 1.0 but not by us","000 Accepted by EltonTraits 1.0 but not by us","Cercopithecus","wolfi","000 Accepted by EltonTraits 1.0 but not by us","000 Accepted by EltonTraits 1.0 but not by IUCN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"000 Accepted by EltonTraits 1.0 but not by us_000 Accepted by EltonTraits 1.0 but not by us","Carnivora","Mephitidae","000 Accepted by EltonTraits 1.0 but not by us","000 Accepted by EltonTraits 1.0 but not by us","000 Accepted by EltonTraits 1.0 but not by us","000 Accepted by EltonTraits 1.0 but not by us","000 Accepted by EltonTraits 1.0 but not by us","000 Accepted by EltonTraits 1.0 but not by us","Spilogale","aquaticus","000 Accepted by EltonTraits 1.0 but not by us","000 Accepted by EltonTraits 1.0 but not by IUCN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"000 Accepted by EltonTraits 1.0 but not by us_000 Accepted by EltonTraits 1.0 but not by us","Rodentia","Muridae","000 Accepted by EltonTraits 1.0 but not by us","000 Accepted by EltonTraits 1.0 but not by us","000 Accepted by EltonTraits 1.0 but not by us","000 Accepted by EltonTraits 1.0 but not by us","000 Accepted by EltonTraits 1.0 but not by us","000 Accepted by EltonTraits 1.0 but not by us","Melomys","spechti","000 Accepted by EltonTraits 1.0 but not by us","000 Accepted by EltonTraits 1.0 but not by IUCN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"000 Accepted by EltonTraits 1.0 but not by us_000 Accepted by EltonTraits 1.0 but not by us","Rodentia","Echimyidae","000 Accepted by EltonTraits 1.0 but not by us","000 Accepted by EltonTraits 1.0 but not by us","000 Accepted by EltonTraits 1.0 but not by us","000 Accepted by EltonTraits 1.0 but not by us","000 Accepted by EltonTraits 1.0 but not by us","000 Accepted by EltonTraits 1.0 but not by us","Plagiodontia","araeum","000 Accepted by EltonTraits 1.0 but not by us","000 Accepted by EltonTraits 1.0 but not by IUCN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"000 Accepted by IUCN but not by us_000 Accepted by IUCN but not by us","Chiroptera","Vespertilionidae","000 Accepted by IUCN but not by us","000 Accepted by IUCN but not by us","000 Accepted by IUCN but not by us","000 Accepted by IUCN but not by us","Eptesicus","kobayashii","Eptesicus","kobayashii","000 Accepted by EltonTraits 1.0 but not by us","000 Deleted","No","Version 1.0",NA,NA,NA,NA,NA,NA,"7 way polytomy between Lasiurus atratus,  Lasiurus borealis, Lasiurus blossevillii, Lasiurus minor, Lasiurus pfeifferi, Lasiurus varius and Lasiurus degelidus",NA
"000 Accepted by IUCN but not by us_000 Accepted by IUCN but not by us","Cetartiodactyla","Bovidae","000 Accepted by IUCN but not by us","000 Accepted by IUCN but not by us","000 Accepted by IUCN but not by us","000 Accepted by IUCN but not by us","Gazella","arabica","Gazella","arabica","000 Accepted by EltonTraits 1.0 but not by us","000 Deleted","No","Version 1.0",NA,NA,NA,NA,NA,NA,"Type specimen shown in Mammalian Biology 78: 220-225 (2013) to be a chimera. No other specimens known",NA
