Species_Name	Order	Family	Mass	IUCN	Individuals_per_kilometer_ByClade	Eurasia	Africa	North_America	South_America	Australia	Madagascar	Honshu	Sulawesi	South_Island	Cuba	Luzon	Hispaniola	New_Britain	Timor	Sardinia	Halmahera	Seram	New_Caledonia	Flores	Negros	Palawan	Jamaica	Sumba	Viti_Levu	Hawaii_Big_Island	Mindoro	Cyprus	Bougainville_Island	Puerto_Rico	Buru	Crete	New_Ireland	Falkland_Islands	Vanua_Levu	Guadalcanal	Isla_Isabella	Nias	Espiritu_Santo	Malaita	Siberut	Socotra	Majorca	Andros_Island	South_Georgia	San_Cristobal	Yamdena	Waigeo	Taliabu	Wetar	Biak	Obira	Reunion	Alor_Island	New_Georgia	Tenerife	Manus_Island	Maui	Mauitius	Simeulue	Savaii	Fuerteventura	Oahu	Inagua	Gran_Canaria	Middle_Andaman	Basse_Terre_Guadeloupe	Kauai	Fergusson_Island	Rote_Island	Okinawa_Island	Great_Abaco	Lifou_Island	Martinique	Tahiti	Grande_Comore	Santiago	Isla_Santa_Cruz	Pemba	Great_Nicobar	Isla_Angel_de_la_Guarda	Chatham_Islands	Efate	Madau_Island	Sado_Island	Jolo_Island	Sao_Tome	Vanatinai_Island_AKA_Sudest_Island	Karakelong	Santo_Antao	Sao_Miguel_Island	Dominica	Madeira	Amami_Ishima	Rennell_Island	Ambrym	Tablas_Island	Selayar_Island	Vella_Lavella	Saint_Lucia	Santiago_Island	Ibiza	Isla_San_Cristobal	Tanna_Island	Great_Kai_Island	Sangihe	Guam	Nendo	Cozumel	Taveuni_Island	Kiritimati	Sibuyan	Kadavu_Island	Curacao	Barbados	Anjouan	Enggano_Island	Babelthuap	Mayotte	Leti	Nuku_Hiva	Pohnpei	Saint_Vincent_Antilles	Numfor	Mussau_Island	Hiva_Oa	Grenada	Karpathos	Rossel_Island	Iriomote_Island	Antigua	Tongatapu	Niue	Isla_Guadalupe_Mexico	Channel_Islands	Tokunoshima	Camiguin	Moheli	Grand_Cayman	Damar_Island	Niihau	Calayan_Island	Vanikoro	Floreana_Island	Saint_Kitts	Raiatea	Socorro_Island	Roatan	Easter_Island	Miyakojima	Katchal_Island	Tanah_Jampea	Mahe	Isla_Maria_Madre	Kofiau	Gebe_Island	Isla_Carmen	Flores_Island_Azores	Christmas_Island	Ouvea_Island	Abd_Al_Kuri	Moorea	Saint_Helena	Macquarie_Island	Tatau_Island	Saipan	Siau_Island	Ilha_Do_Principe	Aldabra	Ua_Pou	Dyaul_Island	Campbell_Island	Vavau	Kosrae	Tristan_De_Cunha	Rodrigues	Tinian	Ascension_Island	Montserrat
Island_Number	0	0	0	0	0	1	3	5	6	8	12	15	19	20	24	25	30	45	51	54	57	58	59	65	67	71	76	77	78	80	81	84	88	89	92	93	99	104	109	113	123	137	138	141	142	148	149	150	151	153	154	159	167	174	175	176	177	192	196	199	206	207	209	216	219	226	233	235	236	242	245	248	255	267	275	276	278	283	293	296	301	302	304	308	312	322	325	337	339	340	341	351	353	357	363	366	369	373	381	384	385	396	400	422	437	441	444	446	448	449	450	467	480	492	496	515	522	528	534	536	575	602	604	619	622	631	632	636	638	659	667	685	704	718	731	752	759	766	776	786	792	864	877	902	917	919	929	979	1006	1010	1014	1016	1021	1043	1048	1052	1062	1095	1101	1107	1131	1134	1144	1154	1175	1179	1223	1226	1242	1253	1275	1285	1291	1298	1300	1307	1320	1326	1328	1334	1389	1435	1440
Area	0	0	0	0	0	54760000	30370000	24710000	17840000	7692000	590729.7388	227988.7122	169736.3142	150244.4561	105514.3993	105182.4393	74316.15831	35454.68005	28619.12647	23987.69158	18154.48953	17414.93663	16425.47362	14121.41555	12725.48161	11518.10437	10990.96806	10774.8001	10724.06465	10499.44732	9855.066877	9316.54619	8724.333389	8733.459729	8465.869347	8330.623737	7070.850173	6638.974253	5774.167313	5388.159825	4717.422063	4058.209896	4055.57876	3882.803282	3831.81763	3640.076734	3648.240613	3610.740154	3618.387199	3299.615196	3290.832021	3123.207417	2928.384108	2635.4224	2574.627495	2536.675575	2523.658424	2119.815049	2082.343151	2047.855759	1918.784379	1913.762911	1872.951109	1748.361776	1723.112744	1659.001555	1572.247116	1552.467818	1547.267485	1504.743448	1463.833681	1453.39243	1341.125069	1244.244126	1201.385513	1172.218321	1152.731874	1136.515494	1042.377693	1030.156124	1002.614503	995.4350192	983.7608995	963.358282	950.8950448	910.8545766	901.8162799	870.3834577	864.7217301	859.6248643	856.5481261	819.484762	805.8365435	788.9080914	767.3289728	761.7460176	747.9977077	730.6484745	695.817753	689.8209069	687.9262916	657.7229317	649.6655544	617.6591781	577.8196703	577.2887721	565.5520823	564.9917201	559.0220477	557.9666344	556.6015308	523.2871014	505.150205	483.4935207	477.9454804	459.0426885	452.6562022	446.7547238	441.4026261	437.429046	403.0745827	376.9244418	374.0187519	364.1885319	360.8098328	354.8080639	351.3962189	345.7903329	344.6418179	326.9933362	321.9626733	312.5654727	300.1226611	290.6837644	282.8979478	271.3569813	266.346909	261.5954632	257.4406428	252.0193179	249.5339109	214.6597607	209.1731504	200.3428316	195.5420722	194.9098352	190.8292472	177.7523907	173.0052641	172.1564765	171.747768	171.1095174	169.3716768	163.1493187	161.9065042	160.6576233	158.6932109	151.9159373	150.5269651	149.4647929	144.8953968	144.3926215	141.5259673	140.7297329	135.9630189	135.1187905	128.5223515	129.299538	125.0877155	123.3738828	120.3735737	119.523774	118.409566	116.9189854	116.752519	116.5728489	114.6492529	113.3073631	113.6982612	112.7933487	104.9990703	100.7498109	100.0723189
Ammotragus_lervia	Cetartiodactyla	Bovidae	48000	VU	2.722	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9998888888888889	0.9998888888888889	0.9998888888888889	0.9998888888888889	0.9998888888888889	0.9996666666666667	0.9996666666666667	0.9996666666666667	0.9996666666666667	0.9996666666666667	0.9995555555555555	0.9993333333333333	0.9993333333333333	0.9992222222222222	0.9985555555555555	0.9984444444444445	0.9981111111111111	0.9977777777777778	0.9976666666666667	0.9968888888888889	0.9964444444444445	0.9953333333333333	0.9953333333333333	0.9944444444444445	0.9942222222222222	0.994	0.994	0.9918888888888889	0.9913333333333333	0.9907777777777778	0.9895555555555555	0.9893333333333333	0.9883333333333333	0.9871111111111112	0.9841111111111112	0.9832222222222222	0.983	0.9795555555555555	0.9783333333333334	0.9738888888888889	0.9652222222222222	0.9652222222222222	0.9624444444444444	0.9622222222222222	0.9608888888888889	0.96	0.9595555555555556	0.9496666666666667	0.9412222222222222	0.9326666666666666	0.9304444444444444	0.921	0.9173333333333333	0.914	0.9103333333333333	0.9075555555555556	0.8791111111111111	0.8552222222222222	0.8513333333333334	0.8383333333333334	0.833	0.8253333333333334	0.8191111111111111	0.8124444444444444	0.8106666666666666	0.7847777777777778	0.7783333333333333	0.7614444444444445	0.7363333333333333	0.7162222222222222	0.6987777777777778	0.673	0.6611111111111111	0.6475555555555556	0.637	0.6231111111111111	0.6153333333333333	0.5045555555555555	0.48544444444444446	0.4543333333333333	0.43633333333333335	0.43444444444444447	0.4166666666666667	0.36566666666666664	0.3451111111111111	0.3417777777777778	0.3393333333333333	0.33766666666666667	0.3293333333333333	0.30644444444444446	0.30177777777777776	0.2961111111111111	0.28855555555555557	0.26	0.25422222222222224	0.24977777777777777	0.23122222222222222	0.229	0.2157777777777778	0.21288888888888888	0.19577777777777777	0.1928888888888889	0.16855555555555554	0.1718888888888889	0.15566666666666668	0.1491111111111111	0.1388888888888889	0.13577777777777778	0.13255555555555557	0.12644444444444444	0.12544444444444444	0.125	0.11811111111111111	0.114	0.11488888888888889	0.112	0.089	0.07666666666666666	0.07522222222222222
Antilope_cervicapra	Cetartiodactyla	Bovidae	37500	NT	3.141	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9998888888888889	0.9998888888888889	0.9998888888888889	0.9996666666666667	0.9995555555555555	0.9993333333333333	0.9993333333333333	0.9993333333333333	0.9982222222222222	0.9981111111111111	0.9977777777777778	0.9976666666666667	0.9976666666666667	0.9976666666666667	0.9973333333333333	0.9961111111111111	0.9961111111111111	0.995	0.9947777777777778	0.9943333333333333	0.9943333333333333	0.9928888888888889	0.9925555555555555	0.9917777777777778	0.9907777777777778	0.9905555555555555	0.9893333333333333	0.9886666666666667	0.9848888888888889	0.9838888888888889	0.9838888888888889	0.9803333333333333	0.9793333333333333	0.9743333333333334	0.9652222222222222	0.965	0.9625555555555556	0.9625555555555556	0.9607777777777777	0.9602222222222222	0.9595555555555556	0.9453333333333334	0.9364444444444444	0.9231111111111111	0.9203333333333333	0.906	0.9017777777777778	0.8961111111111111	0.8905555555555555	0.8867777777777778	0.8542222222222222	0.8228888888888889	0.8178888888888889	0.8053333333333333	0.7994444444444444	0.7873333333333333	0.7814444444444445	0.771	0.7685555555555555	0.7341111111111112	0.7243333333333334	0.7071111111111111	0.6776666666666666	0.6541111111111111	0.6341111111111111	0.6031111111111112	0.5892222222222222	0.5734444444444444	0.558	0.5396666666666666	0.5312222222222223	0.4047777777777778	0.3847777777777778	0.35144444444444445	0.33411111111111114	0.33266666666666667	0.318	0.26722222222222225	0.25066666666666665	0.247	0.24488888888888888	0.2421111111111111	0.2378888888888889	0.21455555555555555	0.20933333333333334	0.20466666666666666	0.19855555555555557	0.1758888888888889	0.1718888888888889	0.16833333333333333	0.1517777777777778	0.14955555555555555	0.1408888888888889	0.13844444444444445	0.12233333333333334	0.12	0.10322222222222223	0.10444444444444445	0.0951111111111111	0.09077777777777778	0.082111111111111107	0.08033333333333334	0.07755555555555556	0.07366666666666667	0.07311111111111111	0.073	0.06888888888888889	0.06633333333333333	0.06688888888888889	0.0651111111111111	0.049555555555555554	0.04211111111111111	0.04088888888888889
Apodemus_mystacinus	Rodentia	Muridae	45.6	LC	710.209	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Apodemus_sylvaticus	Rodentia	Muridae	30.5	LC	763.53	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Atelerix_algirus	Eulipotyphla	Erinaceidae	1250	LC	22.584	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9998888888888889	0.9998888888888889	0.9998888888888889	0.9998888888888889	0.9998888888888889	0.9998888888888889	0.9998888888888889	0.9998888888888889	0.9998888888888889	0.9997777777777778	0.9997777777777778	0.9997777777777778	0.9997777777777778	0.9997777777777778	0.9997777777777778	0.9997777777777778	0.9997777777777778	0.9997777777777778	0.9996666666666667	0.9995555555555555	0.9995555555555555	0.9995555555555555	0.9994444444444445	0.9994444444444445	0.9985555555555555	0.9985555555555555	0.9984444444444445	0.9983333333333333	0.9983333333333333	0.9981111111111111	0.9977777777777778	0.9976666666666667	0.9975555555555555	0.9975555555555555	0.9975555555555555	0.9975555555555555	0.9972222222222222	0.9972222222222222	0.9972222222222222	0.9971111111111111	0.9966666666666667	0.9965555555555555	0.9964444444444445	0.996	0.996	0.9956666666666667	0.9954444444444445	0.9952222222222222	0.9952222222222222	0.9946666666666667	0.9946666666666667	0.9938888888888889	0.9934444444444445	0.9931111111111111	0.9931111111111111	0.9928888888888889	0.9925555555555555	0.9925555555555555	0.9924444444444445	0.9923333333333333	0.9918888888888889	0.9918888888888889	0.9916666666666667	0.9897777777777778	0.989	0.9887777777777778
Atlantoxerus_getulus	Rodentia	Sciuridae	251	LC	280.666	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9998888888888889	0.9998888888888889	0.9998888888888889	0.9998888888888889	0.9998888888888889	0.9998888888888889	0.9998888888888889	0.9998888888888889	0.9998888888888889	0.9998888888888889
Axis_axis	Cetartiodactyla	Cervidae	66172.8	LC	2.259	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9998888888888889	0.9998888888888889	0.9998888888888889	0.9998888888888889	0.9998888888888889	0.9998888888888889	0.9998888888888889	0.9998888888888889	0.9998888888888889	0.9998888888888889	0.9998888888888889	0.9998888888888889	0.9998888888888889	0.9998888888888889	0.9998888888888889	0.9998888888888889	0.9998888888888889	0.9998888888888889	0.9997777777777778	0.9997777777777778	0.9997777777777778	0.9997777777777778	0.9997777777777778	0.9995555555555555	0.9993333333333333	0.9993333333333333	0.9993333333333333	0.9993333333333333	0.9991111111111111	0.9991111111111111	0.9991111111111111	0.9987777777777778	0.9985555555555555	0.998	0.9975555555555555	0.9972222222222222	0.997	0.9965555555555555	0.9958888888888889	0.9955555555555555	0.9936666666666667	0.9916666666666667	0.9913333333333333	0.9898888888888889	0.9891111111111112	0.9883333333333333	0.9875555555555555	0.9864444444444445	0.9862222222222222	0.983	0.9817777777777777	0.98	0.9754444444444444	0.9716666666666667	0.968	0.9626666666666667	0.9604444444444444	0.9583333333333334	0.9562222222222222	0.9516666666666667	0.9496666666666667	0.9144444444444444	0.9074444444444445	0.8944444444444445	0.8847777777777778	0.8838888888888888	0.8764444444444445	0.8502222222222222	0.8401111111111111	0.8385555555555556	0.837	0.8354444444444444	0.8314444444444444	0.81466666666666665	0.811	0.8078888888888889	0.8022222222222222	0.7792222222222223	0.7746666666666666	0.7702222222222223	0.7531111111111111	0.7508888888888889	0.7395555555555555	0.7362222222222222	0.7167777777777777	0.7144444444444444	0.6864444444444444	0.69	0.6695555555555556	0.6616666666666666	0.6462222222222223	0.6418888888888888	0.6354444444444445	0.6253333333333333	0.6245555555555555	0.6235555555555555	0.6116666666666667	0.6031111111111112	0.606	0.6	0.5492222222222222	0.523	0.5176666666666667
Babyrousa_babyrussa	Cetartiodactyla	Suidae	100000	VU	1.778	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9998888888888889	0.9997777777777778	0.9997777777777778	0.9995555555555555	0.9991111111111111	0.9991111111111111	0.9986666666666667	0.9985555555555555	0.9982222222222222	0.9982222222222222	0.9981111111111111	0.9982222222222222	0.9975555555555555	0.9975555555555555	0.9971111111111111	0.9965555555555555	0.9954444444444445	0.995	0.9947777777777778	0.9946666666666667	0.99	0.9895555555555555	0.9888888888888889	0.9865555555555555	0.9865555555555555	0.9857777777777778	0.9825555555555555	0.9823333333333333	0.98	0.9773333333333334	0.9763333333333334	0.976	0.9736666666666667	0.9711111111111111	0.9703333333333334	0.9627777777777777	0.9542222222222222	0.9498888888888889	0.9458888888888889	0.9437777777777778	0.942	0.9305555555555556	0.9283333333333333	0.9245555555555556	0.9232222222222223	0.9204444444444444	0.9158888888888889	0.9133333333333333	0.904	0.9027777777777778	0.8945555555555555	0.8926666666666667	0.8907777777777778	0.89	0.879	0.875	0.87	0.8634444444444445	0.8617777777777778	0.8573333333333333	0.8515555555555555	0.8396666666666667	0.8368888888888889	0.8358888888888889	0.8191111111111111	0.815	0.7973333333333333	0.7711111111111111	0.7707777777777778	0.7615555555555555	0.7615555555555555	0.7572222222222222	0.7561111111111111	0.7551111111111111	0.728	0.7145555555555556	0.6954444444444444	0.6914444444444444	0.6718888888888889	0.666	0.6603333333333333	0.6543333333333333	0.6494444444444445	0.6087777777777778	0.5803333333333334	0.5767777777777777	0.5623333333333334	0.5591111111111111	0.5508888888888889	0.5462222222222223	0.539	0.5374444444444444	0.5116666666666667	0.504	0.4891111111111111	0.4693333333333333	0.45011111111111113	0.4358888888888889	0.41644444444444445	0.4072222222222222	0.3992222222222222	0.39255555555555555	0.3824444444444444	0.37922222222222224	0.31055555555555553	0.30144444444444446	0.2828888888888889	0.2722222222222222	0.27155555555555555	0.26266666666666666	0.23355555555555554	0.2242222222222222	0.22211111111111112	0.22088888888888888	0.21922222222222223	0.2157777777777778	0.2028888888888889	0.2001111111111111	0.197	0.1928888888888889	0.17855555555555555	0.1758888888888889	0.1731111111111111	0.16422222222222221	0.16377777777777777	0.15688888888888888	0.15555555555555556	0.14633333333333334	0.14455555555555555	0.12944444444444445	0.1308888888888889	0.12122222222222222	0.11833333333333333	0.11266666666666666	0.11122222222222222	0.10944444444444444	0.10666666666666667	0.10611111111111111	0.10544444444444444	0.10255555555555555	0.10044444444444445	0.10111111111111111	0.09911111111111111	0.08244444444444445	0.07311111111111111	0.07177777777777777
