Species_Name	Order	Family	Mass	IUCN	Individuals_per_kilometer_ByClade	Eurasia	Africa	North_America	South_America	Australia	Madagascar	Honshu	Sulawesi	South_Island	Cuba	Luzon	Hispaniola	New_Britain	Timor	Sardinia	Halmahera	Seram	New_Caledonia	Flores	Negros	Palawan	Jamaica	Sumba	Viti_Levu	Hawaii_Big_Island	Mindoro	Cyprus	Bougainville_Island	Puerto_Rico	Buru	Crete	New_Ireland	Falkland_Islands	Vanua_Levu	Guadalcanal	Isla_Isabella	Nias	Espiritu_Santo	Malaita	Siberut	Socotra	Majorca	Andros_Island	South_Georgia	San_Cristobal	Yamdena	Waigeo	Taliabu	Wetar	Biak	Obira	Reunion	Alor_Island	New_Georgia	Tenerife	Manus_Island	Maui	Mauitius	Simeulue	Savaii	Fuerteventura	Oahu	Inagua	Gran_Canaria	Middle_Andaman	Basse_Terre_Guadeloupe	Kauai	Fergusson_Island	Rote_Island	Okinawa_Island	Great_Abaco	Lifou_Island	Martinique	Tahiti	Grande_Comore	Santiago	Isla_Santa_Cruz	Pemba	Great_Nicobar	Isla_Angel_de_la_Guarda	Chatham_Islands	Efate	Madau_Island	Sado_Island	Jolo_Island	Sao_Tome	Vanatinai_Island_AKA_Sudest_Island	Karakelong	Santo_Antao	Sao_Miguel_Island	Dominica	Madeira	Amami_Ishima	Rennell_Island	Ambrym	Tablas_Island	Selayar_Island	Vella_Lavella	Saint_Lucia	Santiago_Island	Ibiza	Isla_San_Cristobal	Tanna_Island	Great_Kai_Island	Sangihe	Guam	Nendo	Cozumel	Taveuni_Island	Kiritimati	Sibuyan	Kadavu_Island	Curacao	Barbados	Anjouan	Enggano_Island	Babelthuap	Mayotte	Leti	Nuku_Hiva	Pohnpei	Saint_Vincent_Antilles	Numfor	Mussau_Island	Hiva_Oa	Grenada	Karpathos	Rossel_Island	Iriomote_Island	Antigua	Tongatapu	Niue	Isla_Guadalupe_Mexico	Channel_Islands	Tokunoshima	Camiguin	Moheli	Grand_Cayman	Damar_Island	Niihau	Calayan_Island	Vanikoro	Floreana_Island	Saint_Kitts	Raiatea	Socorro_Island	Roatan	Easter_Island	Miyakojima	Katchal_Island	Tanah_Jampea	Mahe	Isla_Maria_Madre	Kofiau	Gebe_Island	Isla_Carmen	Flores_Island_Azores	Christmas_Island	Ouvea_Island	Abd_Al_Kuri	Moorea	Saint_Helena	Macquarie_Island	Tatau_Island	Saipan	Siau_Island	Ilha_Do_Principe	Aldabra	Ua_Pou	Dyaul_Island	Campbell_Island	Vavau	Kosrae	Tristan_De_Cunha	Rodrigues	Tinian	Ascension_Island	Montserrat
Island_Number	0	0	0	0	0	1	3	5	6	8	12	15	19	20	24	25	30	45	51	54	57	58	59	65	67	71	76	77	78	80	81	84	88	89	92	93	99	104	109	113	123	137	138	141	142	148	149	150	151	153	154	159	167	174	175	176	177	192	196	199	206	207	209	216	219	226	233	235	236	242	245	248	255	267	275	276	278	283	293	296	301	302	304	308	312	322	325	337	339	340	341	351	353	357	363	366	369	373	381	384	385	396	400	422	437	441	444	446	448	449	450	467	480	492	496	515	522	528	534	536	575	602	604	619	622	631	632	636	638	659	667	685	704	718	731	752	759	766	776	786	792	864	877	902	917	919	929	979	1006	1010	1014	1016	1021	1043	1048	1052	1062	1095	1101	1107	1131	1134	1144	1154	1175	1179	1223	1226	1242	1253	1275	1285	1291	1298	1300	1307	1320	1326	1328	1334	1389	1435	1440
Area	0	0	0	0	0	54760000	30370000	24710000	17840000	7692000	590729.7388	227988.7122	169736.3142	150244.4561	105514.3993	105182.4393	74316.15831	35454.68005	28619.12647	23987.69158	18154.48953	17414.93663	16425.47362	14121.41555	12725.48161	11518.10437	10990.96806	10774.8001	10724.06465	10499.44732	9855.066877	9316.54619	8724.333389	8733.459729	8465.869347	8330.623737	7070.850173	6638.974253	5774.167313	5388.159825	4717.422063	4058.209896	4055.57876	3882.803282	3831.81763	3640.076734	3648.240613	3610.740154	3618.387199	3299.615196	3290.832021	3123.207417	2928.384108	2635.4224	2574.627495	2536.675575	2523.658424	2119.815049	2082.343151	2047.855759	1918.784379	1913.762911	1872.951109	1748.361776	1723.112744	1659.001555	1572.247116	1552.467818	1547.267485	1504.743448	1463.833681	1453.39243	1341.125069	1244.244126	1201.385513	1172.218321	1152.731874	1136.515494	1042.377693	1030.156124	1002.614503	995.4350192	983.7608995	963.358282	950.8950448	910.8545766	901.8162799	870.3834577	864.7217301	859.6248643	856.5481261	819.484762	805.8365435	788.9080914	767.3289728	761.7460176	747.9977077	730.6484745	695.817753	689.8209069	687.9262916	657.7229317	649.6655544	617.6591781	577.8196703	577.2887721	565.5520823	564.9917201	559.0220477	557.9666344	556.6015308	523.2871014	505.150205	483.4935207	477.9454804	459.0426885	452.6562022	446.7547238	441.4026261	437.429046	403.0745827	376.9244418	374.0187519	364.1885319	360.8098328	354.8080639	351.3962189	345.7903329	344.6418179	326.9933362	321.9626733	312.5654727	300.1226611	290.6837644	282.8979478	271.3569813	266.346909	261.5954632	257.4406428	252.0193179	249.5339109	214.6597607	209.1731504	200.3428316	195.5420722	194.9098352	190.8292472	177.7523907	173.0052641	172.1564765	171.747768	171.1095174	169.3716768	163.1493187	161.9065042	160.6576233	158.6932109	151.9159373	150.5269651	149.4647929	144.8953968	144.3926215	141.5259673	140.7297329	135.9630189	135.1187905	128.5223515	129.299538	125.0877155	123.3738828	120.3735737	119.523774	118.409566	116.9189854	116.752519	116.5728489	114.6492529	113.3073631	113.6982612	112.7933487	104.9990703	100.7498109	100.0723189
Ammotragus_lervia	Cetartiodactyla	Bovidae	48000	VU	2.722	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9999	0.9999	0.9999	0.9999	0.9999	0.9999	0.9999	0.9999	0.9999	0.9998	0.9998	0.9998	0.9995	0.9992	0.9992	0.9991	0.9991	0.999	0.9983	0.9982	0.9977	0.9977	0.9976	0.9971	0.9969	0.9962	0.9961	0.995	0.9947	0.9947	0.9947	0.9933	0.9926	0.992	0.9909	0.9904	0.9895	0.9879	0.9853	0.9846	0.9845	0.981	0.9805	0.9762	0.9669	0.9668	0.9637	0.9632	0.9619	0.9615	0.9614	0.9505	0.9417	0.9325	0.9296	0.9192	0.9156	0.9106	0.9074	0.9042	0.8774	0.8507	0.8469	0.8333	0.8296	0.8202	0.8163	0.8081	0.8066	0.7793	0.7729	0.7585	0.7351	0.7145	0.6964	0.6681	0.6577	0.6458	0.6343	0.6176	0.6101	0.4996	0.4785	0.4454	0.4273	0.4255	0.4084	0.3582	0.3397	0.3353	0.3338	0.3313	0.3247	0.2997	0.2958	0.2917	0.2815	0.2532	0.2484	0.2439	0.2255	0.2238	0.2125	0.2083	0.1907	0.1873	0.1625	0.1646	0.1506	0.1441	0.1345	0.1319	0.1281	0.1241	0.1236	0.1231	0.1177	0.1126	0.1142	0.111	0.0895	0.0789	0.0782
Antilope_cervicapra	Cetartiodactyla	Bovidae	37500	NT	3.141	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9999	0.9999	0.9999	0.9999	0.9999	0.9999	0.9999	0.9999	0.9999	0.9994	0.9991	0.999	0.9989	0.9988	0.9987	0.9985	0.9984	0.9983	0.9982	0.9981	0.9979	0.9976	0.9971	0.9971	0.9961	0.9959	0.9958	0.9958	0.9951	0.9949	0.9936	0.9928	0.9924	0.9913	0.9897	0.9866	0.9861	0.9861	0.9818	0.9803	0.9749	0.9664	0.9664	0.9634	0.9633	0.9615	0.9613	0.9609	0.9487	0.941	0.931	0.928	0.9138	0.9088	0.9047	0.9005	0.8965	0.8612	0.8288	0.8246	0.8092	0.8021	0.7937	0.7872	0.7746	0.7725	0.7392	0.7301	0.7098	0.6782	0.6538	0.6333	0.6016	0.5872	0.5723	0.5568	0.5388	0.5316	0.4038	0.3834	0.3514	0.3344	0.3323	0.3156	0.2683	0.2492	0.2462	0.244	0.2423	0.2356	0.2137	0.2092	0.2041	0.1974	0.1758	0.1711	0.167	0.1532	0.1517	0.1411	0.138	0.1247	0.1225	0.1003	0.1029	0.092	0.0874	0.0784	0.077	0.0742	0.0707	0.0701	0.0699	0.0651	0.0619	0.0629	0.0603	0.0462	0.0396	0.0387
Apodemus_mystacinus	Rodentia	Muridae	45.6	LC	710.209	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Apodemus_sylvaticus	Rodentia	Muridae	30.5	LC	763.53	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Atelerix_algirus	Eulipotyphla	Erinaceidae	1250	LC	22.584	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9999	0.9999	0.9999	0.9999	0.9999	0.9999	0.9999	0.9999	0.9999	0.9999	0.9998	0.9997	0.9997	0.9995	0.9995	0.9995	0.9994	0.9992	0.9992	0.9991	0.9991	0.9991	0.9991	0.9991	0.9991	0.9988	0.9988	0.9987	0.9987	0.9987	0.9987	0.998	0.998	0.998	0.998	0.998	0.9979	0.9977	0.9975	0.9975	0.9975	0.9972	0.9972	0.9971	0.9968	0.9967	0.9963	0.9962	0.996	0.996	0.9952	0.9953	0.995	0.9948	0.9944	0.9941	0.9939	0.9936	0.9936	0.9936	0.9934	0.9932	0.9933	0.993	0.9917	0.9908	0.9906
Atlantoxerus_getulus	Rodentia	Sciuridae	251	LC	280.666	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9999	0.9999	0.9999	0.9999	0.9999	0.9999	0.9999	0.9999	0.9999	0.9999	0.9999	0.9999	0.9999	0.9999	0.9999	0.9999	0.9999	0.9999	0.9999	0.9999	0.9999	0.9999	0.9999	0.9999	0.9999	0.9999	0.9999	0.9999	0.9999	0.9999	0.9999	0.9999	0.9999	0.9999	0.9999	0.9999	0.9999	0.9999	0.9999	0.9999	0.9999	0.9999	0.9999	0.9999	0.9999	0.9999	0.9999	0.9999	0.9999	0.9999	0.9999	0.9999	0.9999	0.9999	0.9999	0.9999	0.9999	0.9999	0.9998	0.9998	0.9998	0.9998	0.9998	0.9998	0.9998	0.9998	0.9998	0.9997	0.9997	0.9997	0.9997	0.9997	0.9997	0.9997	0.9997	0.9997	0.9997	0.9997	0.9997
Axis_axis	Cetartiodactyla	Cervidae	66172.8	LC	2.259	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9999	0.9999	0.9997	0.9997	0.9997	0.9994	0.9993	0.999	0.9989	0.9989	0.9986	0.9986	0.9986	0.9986	0.9986	0.9979	0.9977	0.9975	0.997	0.9965	0.9963	0.9958	0.9957	0.9956	0.9942	0.9917	0.9915	0.9907	0.9905	0.9891	0.9887	0.9872	0.987	0.9835	0.9827	0.9802	0.9765	0.9727	0.9706	0.965	0.9631	0.9609	0.9585	0.9554	0.9534	0.9199	0.913	0.9015	0.8933	0.8921	0.8837	0.8547	0.8424	0.8404	0.8394	0.838	0.8324	0.8164	0.8126	0.8093	0.8032	0.7806	0.7748	0.7713	0.7529	0.751	0.7413	0.7375	0.7163	0.7118	0.6812	0.685	0.6634	0.6558	0.6397	0.635	0.6273	0.6179	0.6166	0.6161	0.6046	0.5971	0.5989	0.5945	0.5468	0.5175	0.512
Babyrousa_babyrussa	Cetartiodactyla	Suidae	100000	VU	1.778	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9999	0.9999	0.9996	0.9995	0.9989	0.9989	0.9985	0.9983	0.998	0.998	0.9979	0.9979	0.9973	0.9973	0.997	0.9963	0.9951	0.9947	0.9944	0.9944	0.991	0.9906	0.9901	0.9879	0.9878	0.9868	0.9822	0.9814	0.9791	0.9755	0.9746	0.9744	0.9715	0.9684	0.9679	0.9603	0.9527	0.9485	0.9462	0.943	0.9403	0.9258	0.9244	0.92	0.9189	0.9166	0.9118	0.9104	0.9033	0.9011	0.8935	0.8921	0.8912	0.8906	0.879	0.8749	0.8687	0.8604	0.8589	0.8537	0.8463	0.8337	0.8318	0.8308	0.8155	0.8102	0.7927	0.7687	0.7683	0.7591	0.7587	0.7556	0.7549	0.7542	0.7277	0.7132	0.6936	0.6877	0.6712	0.6656	0.6594	0.6537	0.6484	0.613	0.5804	0.5771	0.564	0.5589	0.5511	0.5451	0.5384	0.5368	0.511	0.5033	0.4898	0.4701	0.4533	0.4406	0.419	0.4108	0.4007	0.3938	0.3846	0.3807	0.3145	0.3049	0.2856	0.2749	0.2736	0.2652	0.2381	0.2292	0.2277	0.2266	0.2246	0.2213	0.2082	0.2059	0.203	0.1987	0.1868	0.1839	0.1816	0.1718	0.1714	0.1659	0.1643	0.1523	0.1503	0.1379	0.1392	0.1309	0.1273	0.1231	0.1213	0.1184	0.1149	0.1145	0.1141	0.111	0.1083	0.1092	0.1072	0.0911	0.0841	0.0825
