Species_Name	Order	Family	Mass	IUCN	Individuals_per_kilometer_ByClade	Eurasia	Africa	North_America	South_America	Australia	Madagascar	Honshu	Sulawesi	South_Island	Cuba	Luzon	Hispaniola	New_Britain	Timor	Sardinia	Halmahera	Seram	New_Caledonia	Flores	Negros	Palawan	Jamaica	Sumba	Viti_Levu	Hawaii_Big_Island	Mindoro	Cyprus	Bougainville_Island	Puerto_Rico	Buru	Crete	New_Ireland	Falkland_Islands	Vanua_Levu	Guadalcanal	Isla_Isabella	Nias	Espiritu_Santo	Malaita	Siberut	Socotra	Majorca	Andros_Island	South_Georgia	San_Cristobal	Yamdena	Waigeo	Taliabu	Wetar	Biak	Obira	Reunion	Alor_Island	New_Georgia	Tenerife	Manus_Island	Maui	Mauitius	Simeulue	Savaii	Fuerteventura	Oahu	Inagua	Gran_Canaria	Middle_Andaman	Basse_Terre_Guadeloupe	Kauai	Fergusson_Island	Rote_Island	Okinawa_Island	Great_Abaco	Lifou_Island	Martinique	Tahiti	Grande_Comore	Santiago	Isla_Santa_Cruz	Pemba	Great_Nicobar	Isla_Angel_de_la_Guarda	Chatham_Islands	Efate	Madau_Island	Sado_Island	Jolo_Island	Sao_Tome	Vanatinai_Island_AKA_Sudest_Island	Karakelong	Santo_Antao	Sao_Miguel_Island	Dominica	Madeira	Amami_Ishima	Rennell_Island	Ambrym	Tablas_Island	Selayar_Island	Vella_Lavella	Saint_Lucia	Santiago_Island	Ibiza	Isla_San_Cristobal	Tanna_Island	Great_Kai_Island	Sangihe	Guam	Nendo	Cozumel	Taveuni_Island	Kiritimati	Sibuyan	Kadavu_Island	Curacao	Barbados	Anjouan	Enggano_Island	Babelthuap	Mayotte	Leti	Nuku_Hiva	Pohnpei	Saint_Vincent_Antilles	Numfor	Mussau_Island	Hiva_Oa	Grenada	Karpathos	Rossel_Island	Iriomote_Island	Antigua	Tongatapu	Niue	Isla_Guadalupe_Mexico	Channel_Islands	Tokunoshima	Camiguin	Moheli	Grand_Cayman	Damar_Island	Niihau	Calayan_Island	Vanikoro	Floreana_Island	Saint_Kitts	Raiatea	Socorro_Island	Roatan	Easter_Island	Miyakojima	Katchal_Island	Tanah_Jampea	Mahe	Isla_Maria_Madre	Kofiau	Gebe_Island	Isla_Carmen	Flores_Island_Azores	Christmas_Island	Ouvea_Island	Abd_Al_Kuri	Moorea	Saint_Helena	Macquarie_Island	Tatau_Island	Saipan	Siau_Island	Ilha_Do_Principe	Aldabra	Ua_Pou	Dyaul_Island	Campbell_Island	Vavau	Kosrae	Tristan_De_Cunha	Rodrigues	Tinian	Ascension_Island	Montserrat	log10_Density	log10_Density_CI_lwr	log10_Density_CI_upr
Island_Number	0	0	0	0	0	1	3	5	6	8	12	15	19	20	24	25	30	45	51	54	57	58	59	65	67	71	76	77	78	80	81	84	88	89	92	93	99	104	109	113	123	137	138	141	142	148	149	150	151	153	154	159	167	174	175	176	177	192	196	199	206	207	209	216	219	226	233	235	236	242	245	248	255	267	275	276	278	283	293	296	301	302	304	308	312	322	325	337	339	340	341	351	353	357	363	366	369	373	381	384	385	396	400	422	437	441	444	446	448	449	450	467	480	492	496	515	522	528	534	536	575	602	604	619	622	631	632	636	638	659	667	685	704	718	731	752	759	766	776	786	792	864	877	902	917	919	929	979	1006	1010	1014	1016	1021	1043	1048	1052	1062	1095	1101	1107	1131	1134	1144	1154	1175	1179	1223	1226	1242	1253	1275	1285	1291	1298	1300	1307	1320	1326	1328	1334	1389	1435	1440	NA	NA	NA
Area	0	0	0	0	0	54760000	30370000	24710000	17840000	7692000	590729.7388	227988.7122	169736.3142	150244.4561	105514.3993	105182.4393	74316.15831	35454.68005	28619.12647	23987.69158	18154.48953	17414.93663	16425.47362	14121.41555	12725.48161	11518.10437	10990.96806	10774.8001	10724.06465	10499.44732	9855.066877	9316.54619	8724.333389	8733.459729	8465.869347	8330.623737	7070.850173	6638.974253	5774.167313	5388.159825	4717.422063	4058.209896	4055.57876	3882.803282	3831.81763	3640.076734	3648.240613	3610.740154	3618.387199	3299.615196	3290.832021	3123.207417	2928.384108	2635.4224	2574.627495	2536.675575	2523.658424	2119.815049	2082.343151	2047.855759	1918.784379	1913.762911	1872.951109	1748.361776	1723.112744	1659.001555	1572.247116	1552.467818	1547.267485	1504.743448	1463.833681	1453.39243	1341.125069	1244.244126	1201.385513	1172.218321	1152.731874	1136.515494	1042.377693	1030.156124	1002.614503	995.4350192	983.7608995	963.358282	950.8950448	910.8545766	901.8162799	870.3834577	864.7217301	859.6248643	856.5481261	819.484762	805.8365435	788.9080914	767.3289728	761.7460176	747.9977077	730.6484745	695.817753	689.8209069	687.9262916	657.7229317	649.6655544	617.6591781	577.8196703	577.2887721	565.5520823	564.9917201	559.0220477	557.9666344	556.6015308	523.2871014	505.150205	483.4935207	477.9454804	459.0426885	452.6562022	446.7547238	441.4026261	437.429046	403.0745827	376.9244418	374.0187519	364.1885319	360.8098328	354.8080639	351.3962189	345.7903329	344.6418179	326.9933362	321.9626733	312.5654727	300.1226611	290.6837644	282.8979478	271.3569813	266.346909	261.5954632	257.4406428	252.0193179	249.5339109	214.6597607	209.1731504	200.3428316	195.5420722	194.9098352	190.8292472	177.7523907	173.0052641	172.1564765	171.747768	171.1095174	169.3716768	163.1493187	161.9065042	160.6576233	158.6932109	151.9159373	150.5269651	149.4647929	144.8953968	144.3926215	141.5259673	140.7297329	135.9630189	135.1187905	128.5223515	129.299538	125.0877155	123.3738828	120.3735737	119.523774	118.409566	116.9189854	116.752519	116.5728489	114.6492529	113.3073631	113.6982612	112.7933487	104.9990703	100.7498109	100.0723189	NA	NA	NA
Ammotragus_lervia	Cetartiodactyla	Bovidae	48e3	VU	2.722	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3684059604599134	-0.0850927964423211	0.8275625150537365
Antilope_cervicapra	Cetartiodactyla	Bovidae	37500	NT	3.141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.32234605324901666	-0.09166733154113804	0.746618758775689
Apodemus_mystacinus	Rodentia	Muridae	45.6	LC	710.209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.8245675949673252	2.2465481300402965	3.3898661471448603
Apodemus_sylvaticus	Rodentia	Muridae	30.5	LC	763.53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.9372536309566977	2.445994041156432	3.4263428326802483
Atelerix_algirus	Eulipotyphla	Erinaceidae	1250	LC	22.584	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.837974499947653	0.867816283334764	2.826230984425569
Atlantoxerus_getulus	Rodentia	Sciuridae	251	LC	280.666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.4511803374596837	1.5667350610542787	3.335023516642079
Axis_axis	Cetartiodactyla	Cervidae	66172.8	LC	2.259	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7076617532639472	0.20336858485020148	1.1576221922041345
Babyrousa_babyrussa	Cetartiodactyla	Suidae	1e5	VU	1.778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.19913082463144574	-0.4865325218827721	0.923682328862838
