Binomial.1.2,Order.1.2,Family.1.2,log10BM,log10.density.median,log10.density.mean,sd,log10.lower.95hpd,log10.upper.95hpd,density.median,density.mean,lower.95hpd,upper.95hpd
Abditomys_latidens,Rodentia,Muridae,2.429752280002408,2.6773896454109867,2.671336149656114,0.3069698869482079,2.0642726513991416,3.2714302411462786,475.7618841377961,469.17639035382064,115.95050685165191,1868.2295674779864
Abeomelomys_sevia,Rodentia,Muridae,1.7160033436347992,2.778041428974036,2.7753710093049677,0.353691756591273,2.078274909414709,3.477324363106388,599.848295297438,596.1712234974091,119.7498310653016,3001.4033511606967
Abrawayaomys_ruschii,Rodentia,Cricetidae,1.7993405494535817,2.561416975312091,2.5607590652916943,0.3340573774952347,1.9073160793263062,3.2127524831189387,364.2646064338107,363.71320200299226,80.78227493814421,1632.1214899248532
Abrocoma_bennettii,Rodentia,Abrocomidae,2.3979400086720375,2.410558452616818,2.4119865613396394,0.3527929952286474,1.7150911372383586,3.085546590544264,257.37031412884573,258.21802872920233,51.890892118793374,1217.7176209927763
Abrocoma_boliviensis,Rodentia,Abrocomidae,2.1986570869544226,2.605650375700545,2.6010681810474168,0.45090993227068715,1.7489073052802566,3.519868520061846,403.3205731654751,399.0875512619096,56.092824014489175,3310.3088877975906
Abrocoma_budini,Rodentia,Abrocomidae,2.5571461423183632,2.4383374295942986,2.4417677363498704,0.4578663602307281,1.510206573465909,3.29925494663778,274.3705094080199,276.54622617808275,32.37476118295457,1991.8422796254197
Abrocoma_cinerea,Rodentia,Abrocomidae,2.3979400086720375,2.516918376016652,2.5208952742793427,0.45827134283747856,1.6245564497988858,3.4399668854481154,328.789830280128,331.81443421066604,42.12660395514778,2754.0187039574757
Abrocoma_famatina,Rodentia,Abrocomidae,2.3681008517093516,2.539557971085162,2.536752901577788,0.4550878237665635,1.6115415075881507,3.3993000122629824,346.38411803723443,344.154063381712,40.88288239581132,2507.8410808459694
Abrocoma_shistacea,Rodentia,Abrocomidae,2.4413808849165113,2.4949556929756858,2.4987095845605958,0.45212129883929364,1.6381518960888337,3.4041520502151674,312.5760458606268,315.2895557279209,43.46622222964569,2536.016356120284
Abrocoma_uspallata,Rodentia,Abrocomidae,2.390581878550435,2.5158813327871483,2.5126749665152235,0.4479338743896583,1.617581906645341,3.3871164626182817,328.00565615736764,325.5929304245218,41.45547604584768,2438.4646417855965
Abrocoma_vaccarum,Rodentia,Abrocomidae,2.405346360175709,2.5207860266234325,2.519747173352099,0.4586278928117161,1.648600448479694,3.446736819645631,331.7309761156332,330.9384079874158,44.52464325808683,2797.2856643310106
Abrothrix_andinus,Rodentia,Cricetidae,1.255272505103306,2.9614229747900493,2.967317541598511,0.26757199452406055,2.4270236113319825,3.4748319210186813,915.0039624399867,927.5077381489008,267.3151736223318,2984.2274511588307
Abrothrix_illutea,Rodentia,Cricetidae,1.6794278966121188,2.748358982020683,2.750876647789973,0.27099819133477315,2.2190267245883204,3.2760342146857813,560.2204809340769,563.4775891416188,165.58718554667047,1888.1400951155838
Abrothrix_jelskii,Rodentia,Cricetidae,1.5378190950732742,2.789610556130277,2.7959229246520527,0.27711910616799684,2.2549425989296146,3.3459694891227016,616.0423319093368,625.0617516302411,179.8633172544375,2218.0405883441376
Abrothrix_lanosus,Rodentia,Cricetidae,1.5118833609788744,2.809068642965204,2.8119511922246265,0.2763324142768706,2.267348973156255,3.363220816258318,644.2710885521867,648.561541475767,185.07551781758568,2307.920348453209
Abrothrix_longipilis,Rodentia,Cricetidae,1.575187844927661,2.838555658423683,2.8462922242364264,0.25640434042092286,2.3384134851831515,3.3429509073502484,689.5339569783686,701.927446297281,217.97841240900883,2202.6774583123897
Abrothrix_olivaceus,Rodentia,Cricetidae,1.4313637641589874,2.9096173712278794,2.916401620580814,0.25498231061031906,2.441368268302967,3.4384507200600343,812.1146991572164,824.9006020669907,276.29197337329197,2744.4209129240157
Abrothrix_sanborni,Rodentia,Cricetidae,1.3926969532596658,2.8758257039471844,2.881350621674589,0.2744283706393119,2.331612322211532,3.410939921233698,751.3213046027037,760.9403637525988,214.59140449123225,2575.9647824741355
Acinonyx_jubatus,Carnivora,Felidae,4.669316880566112,-1.259782136232574,-1.2635688368935811,0.2397042514521165,-1.724588003382006,-0.7857036832492486,0.05498166201200609,0.054504349791867565,0.01885436874758147,0.163793369346889
Acomys_airensis,Rodentia,Muridae,1.6839471307515121,3.0097343369170684,3.01203143376591,0.28565865026039766,2.4707572045749533,3.581437829242398,1022.6672232414145,1028.090707529502,295.6359230771941,3814.5018445714068
Acomys_cahirinus,Rodentia,Muridae,1.7201593034059568,3.007449531266813,3.0087699225086233,0.2750241769243599,2.4628567899144405,3.5354058853406416,1017.3011402181405,1020.398760775513,290.3065200967174,3430.8828210348875
Acomys_cilicicus,Rodentia,Muridae,1.6283889300503116,3.025536789600863,3.0274412199840235,0.29028541620040565,2.474078243232426,3.6037422546929836,1060.563776183011,1065.2246800230953,297.9053092356018,4015.5242658213283
Acomys_cineraceus,Rodentia,Muridae,1.307496037913213,3.179570002500705,3.1812608797383586,0.2957950251065159,2.5958631076898375,3.7472419949536904,1512.0634042516851,1517.9619300318177,394.33298628448125,5587.8146884790085
Acomys_dimidiatus,Rodentia,Muridae,1.5740312677277188,3.065365489162015,3.0680528665918754,0.28445081579165343,2.527846752763212,3.645883686719248,1162.4264654371455,1169.64176264294,337.16831283510817,4424.698536735792
Acomys_ignitus,Rodentia,Muridae,1.380211241711606,3.130299803698352,3.137008388203289,0.2987916367442806,2.577727780268469,3.7611422107363137,1349.8944249018762,1370.9082443875132,378.2054477902939,5769.553578349257
Acomys_johannis,Rodentia,Muridae,1.2671717284030137,3.197484596618918,3.199189808772484,0.2960256415035997,2.658569473030151,3.80393315208156,1575.74013403887,1581.9392761118945,455.585059168849,6366.975109610854
Acomys_kempi,Rodentia,Muridae,1.3424226808222062,3.1214142805024245,3.1244010248348864,0.30943883130958894,2.529130204163504,3.7424274054283955,1322.5566407286478,1331.683518732467,338.16620532314437,5526.2102675733295
Acomys_louisae,Rodentia,Muridae,1.3053513694466237,3.0630551435237265,3.062656045274648,0.3484907608223494,2.401670550545133,3.7699833884975806,1156.2590461536336,1155.196981095456,252.15672226873573,5888.211328710864
Acomys_minous,Rodentia,Muridae,1.7958800173440752,2.943952986565702,2.9452015584070423,0.29035215377569273,2.4181390211571356,3.5452860365525902,878.9273656550547,881.4578674339524,261.9021243816483,3509.829634722805
Acomys_mullah,Rodentia,Muridae,1.4533183400470377,3.086993733918126,3.088635756714584,0.3035438415297272,2.4899186456140527,3.6760844508693657,1221.7820319384189,1226.4102080341231,308.9716595914003,4743.342131006811
