Binomial.1.2,Order.1.2,Family.1.2,log10BM,log10.density.median,log10.density.mean,sd,log10.lower.95hpd,log10.upper.95hpd,density.median,density.mean,lower.95hpd,upper.95hpd
Abditomys_latidens,Rodentia,Muridae,2.429752280002408,2.673795514135617,2.6669229367293754,0.312841288319514,2.069549377071964,3.273941177775837,471.84082453925924,464.4328567439463,117.36791162470797,1879.062293401079
Abeomelomys_sevia,Rodentia,Muridae,1.7160033436347992,2.794032195627148,2.788764390978004,0.34683898491981163,2.1190380500887183,3.4729862578877677,622.3464199727329,614.8432237263736,131.5340068779356,2971.572002631639
Abrawayaomys_ruschii,Rodentia,Cricetidae,1.7993405494535817,2.5643557365437246,2.556083573340488,0.33131963895000155,1.9015859904217667,3.2057028476829323,366.73785163542465,359.8185700825823,79.72343275706704,1605.8421301491535
Abrocoma_bennettii,Rodentia,Abrocomidae,2.3979400086720375,2.4066457716569802,2.410530974792877,0.35662049587153494,1.7358528363987373,3.099700786175239,255.06200639549067,257.3540308170458,54.431817571986414,1258.0583546000332
Abrocoma_boliviensis,Rodentia,Abrocomidae,2.1986570869544226,2.6006320319993566,2.602787671848526,0.452017191909483,1.7189306497413384,3.4687415999841136,398.6869606728025,400.670780332471,52.351683219252116,2942.6702592623546
Abrocoma_budini,Rodentia,Abrocomidae,2.5571461423183632,2.4539355256740363,2.445353794867685,0.4676892424933291,1.6051458110657428,3.4042676606704814,284.40388568604084,278.8391786892973,40.285226620386304,2536.6915409207195
Abrocoma_cinerea,Rodentia,Abrocomidae,2.3979400086720375,2.530838519510664,2.528941928196735,0.46624281912099197,1.5601212755040759,3.393449826091089,339.4990157235782,338.0196347977574,36.31794574461434,2474.2855913618796
Abrocoma_famatina,Rodentia,Abrocomidae,2.3681008517093516,2.5320997902001148,2.54614404974386,0.4584275622837478,1.6306763949657894,3.4026246495419348,340.4864161251264,351.6770678241117,42.72444156841017,2527.112928344051
Abrocoma_shistacea,Rodentia,Abrocomidae,2.4413808849165113,2.4930433195272066,2.4930197813179866,0.46490099302402615,1.6308125714253556,3.410762162243076,311.20267366372354,311.1858073312134,42.737840254503006,2574.91064243584
Abrocoma_uspallata,Rodentia,Abrocomidae,2.390581878550435,2.511339517175746,2.5067719135852706,0.45711929048902394,1.6230141800217517,3.408778579395654,324.5932745573828,321.1973204595974,41.977268964222844,2563.1768937784195
Abrocoma_vaccarum,Rodentia,Abrocomidae,2.405346360175709,2.5168018910618244,2.518769682919805,0.464251886252951,1.6008044641265315,3.378406770039063,328.70165524138963,330.1943843662205,39.88452866311293,2390.0488086877426
Abrothrix_andinus,Rodentia,Cricetidae,1.255272505103306,2.968525719746724,2.9694881683733843,0.26289029682333986,2.447695932792474,3.4746448566209844,930.0915949194178,932.1550749900937,280.3470127353954,2982.942326606611
Abrothrix_illutea,Rodentia,Cricetidae,1.6794278966121188,2.738535882559094,2.74580929792553,0.2636784222767715,2.209201908749977,3.2283884973822436,547.6913508009504,556.9411380584197,161.88324774911143,1691.9537892340281
Abrothrix_jelskii,Rodentia,Cricetidae,1.5378190950732742,2.78193598919129,2.7931758745551867,0.27938316627554427,2.2749221161620774,3.3672405733481265,605.251659935107,621.1205160768559,188.33113171426837,2329.381239198755
Abrothrix_lanosus,Rodentia,Cricetidae,1.5118833609788744,2.799179428362675,2.8046622560605026,0.27795542840513493,2.2742583478331313,3.3704947292707206,629.7663164864748,637.7673117457276,188.04350945747424,2346.900779815431
Abrothrix_longipilis,Rodentia,Cricetidae,1.575187844927661,2.8401184814648697,2.842429925290636,0.2512215860027912,2.373087214636968,3.3511953460870605,692.0197376025138,695.7126903271262,236.095230994941,2244.8914511153043
Abrothrix_olivaceus,Rodentia,Cricetidae,1.4313637641589874,2.9107933813685847,2.9180704657039516,0.25299787690364417,2.4133761865548378,3.4219636413824848,814.3167749579461,828.076510942466,259.0455800455738,2642.187547263271
Abrothrix_sanborni,Rodentia,Cricetidae,1.3926969532596658,2.872410377787837,2.881862740321431,0.27531748227784475,2.357059502981025,3.4264529266535604,745.4360259113101,761.8381914193617,227.54091647664765,2669.641387986951
Acinonyx_jubatus,Carnivora,Felidae,4.669316880566112,-1.258563413330286,-1.2600604625917908,0.2427527405679752,-1.7080687179846175,-0.762492068824792,0.05513616896533575,0.05494643719583197,0.019585347519783667,0.17278575347096364
Acomys_airensis,Rodentia,Muridae,1.6839471307515121,3.0143851946041478,3.014981850728445,0.28504593704613657,2.395119921299658,3.525622866242595,1033.6778129664624,1035.0989087414446,248.3818865023883,3354.461921026356
Acomys_cahirinus,Rodentia,Muridae,1.7201593034059568,2.998731180932714,3.0041652221036874,0.27858732215320103,2.48220653336421,3.5532139880986855,997.0826997445324,1009.6369172240863,303.53343265682753,3574.4891907535407
Acomys_cilicicus,Rodentia,Muridae,1.6283889300503116,3.029152182735251,3.028623606849864,0.2931180431797825,2.443745575298955,3.600097342666264,1069.429556337987,1068.128755056116,277.80852926690153,3981.9641220496515
Acomys_cineraceus,Rodentia,Muridae,1.307496037913213,3.179695109591558,3.1777584338415017,0.2962144967231741,2.6185536460798615,3.7679328827745424,1512.4990466815236,1505.7692842271715,415.4833705158498,5860.475878908571
Acomys_dimidiatus,Rodentia,Muridae,1.5740312677277188,3.063998232982124,3.066012154421032,0.28545101726645183,2.499892145320228,3.619195093685037,1158.772641436836,1164.1586097827558,316.14924231665225,4160.974877511614
Acomys_ignitus,Rodentia,Muridae,1.380211241711606,3.143661463636776,3.1383023309209648,0.30795729508595354,2.516541099936191,3.7351860947605244,1392.071248135482,1374.9988372818032,328.5043312009414,5434.831636084942
Acomys_johannis,Rodentia,Muridae,1.2671717284030137,3.202144958180672,3.2011319372138565,0.29567080090094294,2.6476778174390234,3.8119088467507445,1592.7402608672476,1589.029417110004,444.30153885537203,6484.983071771634
Acomys_kempi,Rodentia,Muridae,1.3424226808222062,3.1215998436380703,3.1193639188263655,0.3186704261836538,2.4526734056093655,3.7151344949925917,1323.1218567409267,1316.3273920690515,283.5785683300346,5189.607290038936
Acomys_louisae,Rodentia,Muridae,1.3053513694466237,3.0496494015129985,3.0498548911858996,0.34756660346325224,2.3815936539500626,3.74090242757964,1121.113033561141,1121.6436220698238,240.7651663978877,5506.83961001149
Acomys_minous,Rodentia,Muridae,1.7958800173440752,2.946557148597833,2.944514020493308,0.29144690605445006,2.392306753421286,3.5406612038158025,884.213514768062,880.0635226528658,246.7781779871568,3472.651517578899
Acomys_mullah,Rodentia,Muridae,1.4533183400470377,3.087684188034424,3.0856701131082347,0.3016721495733214,2.4957937024923127,3.6674919789856033,1223.7260017596059,1218.0640149759565,313.17977120014547,4650.417871988168
